Definição_da_Doença,Indices_ep,Prevenção,teste_rapido_diag,Consequências,Tratamento
"A Sífilis é uma infecção sexualmente transmissível (IST), causada pela bactéria Treponema pallidum, possuindo manifestações clínicas e diferentes estágios (sífilis primária, secundária, latente e terciária). Além disso, pode ser congênita, quando a mulher grávida infectada pode passar a doença para o feto, ou adquirida, a infecção acontece no ato sexual.","Dados do Sistema de Informação de Agravos de Notificação (Sinan), apontam que em Sergipe, a taxa de sífilis congênita diminuiu nos últimos quatro anos. Foram 11,2 casos, por mil nascidos, em 2013; 11,1, em 2014; 10,6, em 2015; 10,0, em 2016 e 9,4, em 2017. A detecção da doença em gestantes, essencial para evitar que mãe transmita a infecção para o bebê, aumentou de 9,5 em 2011 para 14,1 em 2017.",,,,"O tratamento é simples e está disponível gratuitamente pelo SUS, nos postos de saúde”, explica o gerente do programa IST/ AIDS."
"A doença é causada pela bactéria Neisseria gonorrhoeae.

A infecção é transmitida por meio de relação sexual sem uso de preservativo - seja vaginal, anal ou oral.","Segundo o Ministério da Saúde, não há registro de gonorreia super-resistente no Brasil.

Apesar de não ser uma doença de notificação obrigatória, estima-se que surjam 500 mil casos novos de gonorreia por ano - com prevalência de aproximadamente 1,4% na população de 15 a 49 anos.",,,"Os sintomas incluem secreção purulenta esverdeada ou amarelada encorpada, dor ao urinar e sangramento no intervalo de cada menstruação.

No caso das mulheres, principalmente, a doença pode ser silenciosa e não apresentar sintomas.

Quando não tratada, a gonorreia pode levar à infertilidade, à transmissão para o feto durante a gravidez e a doença inflamatória pélvica.",
"“Em geral, as ISTs são causadas por vírus e bactérias, transmitidas principalmente durante o ato sexual sem proteção com pessoa infectada. ","Segundo o Ministério da Saúde, desde 2014, o número de pessoas infectadas aumentou 32,7%: as taxas, que em 2001 eram de 2,1 casos por 100 mil pessoas passaram, em 2015, a 7,5 casos. Entre 2016 e 2017 houve um aumento de notificação de 31,8%, de acordo com o Sinan (Sistema de Informação de Agravos de Notificação). A Sífilis adquirida aumenta entre os brasileiros mais jovens e mulheres.",,,"Em muitos casos, o resultado é o aparecimento de feridas, corrimentos, bolhas e verrugas, que podem evoluir para complicações mais graves como câncer e até a morte”, explica Alberto",
,"Durante o evento, Mandetta ressaltou que o Brasil teve 158.051 casos de sífilis em 2019. O número representa um aumento de 28,3% em relação ao total de casos registrados em 2018.","Queremos que os jovens se conscientizem da importância do uso do preservativo e que essa utilização é fundamental não apenas para evitar o contágio com o HIV e a sífilis, mas também com todas as doenças sexualmente transmissíveis, como herpes, gonorreia, hepatites e HPV",,,
"A Sífilis é uma Infecção Sexualmente Transmissível (IST) curável e exclusiva do ser humano, causada pela bactéria Treponema pallidum. Pode apresentar várias manifestações clínicas e diferentes estágios (sífilis primária, secundária, latente e terciária). Nos estágios primário e secundário da infecção, a possibilidade de transmissão é maior.","Fora realizou em 2018, 7.224 testes para detecção da infecção de Sífilis. Deste total, 434 pessoas tiveram resultado positivo para a doença.",,,"Ferida, geralmente única, no local de entrada da bactéria (pênis, vulva, vagina, colo uterino, ânus, boca, ou outros locais da pele), que aparece entre 10 a 90 dias após o contágio.",
"A doença é transmitida por meio da relação sexual sem camisinha, sangue contaminado e da mãe para o filho durante a gravidez. ",,,,"A sífilis é uma doença grave, que pode causar sérias consequências para a saúde de uma criança, malformação do feto e até a morte.",
,"Em 2008, o número de grávidas infectadas não chegou a 10 mil. Já em 2013, houve 21.382 ocorrências (7,4 casos para cada mil nascidos vivos). No ano seguinte, informa o documento, “dados preliminares” dão conta de 28.226 diagnósticos, ou aproximadamente 9,7 para cada mil nascidos vivos.",,,"Considerada uma doença silenciosa por não apresentar sintomas graves em seus estágios iniciais, a sífilis pode levar a problemas cardíacos, meningite e até à loucura. Se contraída por mulheres grávidas, a bactéria Treponema pallidum, responsável pela sífilis, pode causar nos bebês malformações (como a microcefalia), cegueira e deficiência mental. Os casos mais graves levam à morte.","A penicilina benzatina é o tratamento de escolha para a sífilis em seus estágios iniciais, quando os sintomas mais comuns são cancros, que podem passar despercebidos, e manchas rosadas espalhadas pelo corpo. Já a penicilina cristalina é o remédio recomendado para combater a sífilis congênita e a doença em fases avançadas. "
,"Em 2016, foram notificados 1.408 casos de sífilis adquirida. Já nesse ano, até 30 de novembro, o número subiu para 2.374 casos.",," Além de ser diagnosticada pelos sintomas, a sífilis pode ser descoberta por meio de um exame de sangue comum.","A doença pode trazer diversas más formações e deformidades aos bebês como surdez neurológica, cegueira, microcefalia, deformidade crânio facial, leões neurológicas, artrose, lesão cardíaca, entre outras, sendo todas irreversíveis.",
"A sífilis é uma infecção causada por bactéria (treponema pallidum), transmitida por relação sexual com pessoa infectada, que é chamada de sífilis adquirida, ou ainda transmitida para crianças durante a gestação ou parto, chamada de sífilis congênita.",,O uso do preservativo ainda é a alternativa mais eficaz e segura da prevenção das IST. ,,,
A sífilis é uma doença sexualmente transmissível,,,O diagnóstico é feito por meio do teste rápido," se não tratada, pode causar aborto ou má formação do bebê",
"doença curável, causada por uma bactéria e transmitida por relação sexual sem camisinha com uma pessoa infectada ou para a criança durante a gestação ou parto.","Dados do Boletim Epidemiológico de Sífilis 2018, divulgado pelo Ministério da Saúde, mostram que a taxa de detecção de sífilis adquirida passou de 14,4 casos em 2012 para 58,1 em 2017 por 100 mil habitantes. Desde 2010 até junho de 2018 foram notificados 479.730 casos da doença.",,,,
,"Dados do Ministério da Saúde apontam que, no ano de 2016, foram notificados 87.593 casos de sífilis adquirida, 37.436 casos de sífilis em gestantes e 20.474 casos de sífilis congênita (quando há transmissão da gestante para o feto).","atualmente o uso do preservativo ainda é a forma mais eficaz no combate ao contágio por vírus ou bactérias transmissoras dos problemas de saúde mais comuns nessa época, como é o caso do HIV, sífilis, hepatite B e infecções por clamídias.","O diagnóstico de HIV, hepatite B, sífilis e clamídias pode ser obtido por meio de um teste sorológico feito a partir da coleta de uma amostra de sangue.",,
